revision;file;methodSignature;references
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_9f16fe4_dbbaa12/rev_9f16fe4-dbbaa12;/bottom-bar/src/main/java/com/roughike/bottombar/BottomBar;init(Context,AttributeSet,int,int);private void init(Context context, AttributeSet attrs, int defStyleAttr, int defStyleRes) {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_fd6c7c7_935aedc/rev_fd6c7c7-935aedc;/modules/swagger-core/src/main/java/com/wordnik/swagger/jackson/ModelResolver;resolve(JavaType);public Model resolve(JavaType type) {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_279a695_e9ac84a/rev_279a695-e9ac84a;/samples/java-play2/app/controllers/BaseApiController;JsonResponse(Object,int);;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_279a695_e9ac84a/rev_279a695-e9ac84a;/samples/java-jersey2-guice/src/main/java/com/wordnik/swagger/sample/SwaggerExampleGuiceContextListener;bootstrap();;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7222e10_ee0b639/rev_7222e10-ee0b639;/samples/java-resteasy/src/main/java/com/wordnik/swagger/sample/util/ApiAuthorizationFilterImpl;isParamAllowed(Parameter,Operation,ApiDescription,Map<String,List<String>>,Map<String,String>,Map<String,List<String>>);public boolean isParamAllowed(Parameter parameter, Operation operation, ApiDescription api, Map<String, List<String>> params, Map<String, String> cookies, Map<String, List<String>> headers) {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7222e10_ee0b639/rev_7222e10-ee0b639;/samples/java-jaxrs-wink/src/main/java/com/wordnik/swagger/sample/resources/ResourceConfiguration;getClasses();@Override    public Set<Class<?>> getClasses() {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7222e10_ee0b639/rev_7222e10-ee0b639;/samples/java-mule/src/main/java/com/wordnik/swagger/sample/model/Order;setComplete(boolean);public void setComplete(boolean complete) {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7222e10_ee0b639/rev_7222e10-ee0b639;/samples/java-resteasy/src/main/java/com/wordnik/swagger/sample/PetStoreApplication;getClasses();@Override    public Set<Class<?>> getClasses() {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7222e10_ee0b639/rev_7222e10-ee0b639;/samples/java-jaxrs-wink/src/main/java/com/wordnik/swagger/sample/util/ApiAuthorizationFilterImpl;isParamAllowed(Parameter,Operation,ApiDescription,Map<String,List<String>>,Map<String,String>,Map<String,List<String>>);public boolean isParamAllowed(Parameter parameter, Operation operation, ApiDescription api, Map<String, List<String>> params, Map<String, String> cookies, Map<String, List<String>> headers) {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7222e10_ee0b639/rev_7222e10-ee0b639;/samples/java-jersey-spring/src/main/java/com/wordnik/swagger/sample/util/ApiAuthorizationFilterImpl;isParamAllowed(Parameter,Operation,ApiDescription,Map<String,List<String>>,Map<String,String>,Map<String,List<String>>);public boolean isParamAllowed(Parameter parameter, Operation operation, ApiDescription api, Map<String, List<String>> params, Map<String, String> cookies, Map<String, List<String>> headers) {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7222e10_ee0b639/rev_7222e10-ee0b639;/samples/java-resteasy-spring/src/main/java/com/wordnik/swagger/sample/util/ApiAuthorizationFilterImpl;isParamAllowed(Parameter,Operation,ApiDescription,Map<String,List<String>>,Map<String,String>,Map<String,List<String>>);public boolean isParamAllowed(Parameter parameter, Operation operation, ApiDescription api, Map<String, List<String>> params, Map<String, String> cookies, Map<String, List<String>> headers) {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7222e10_ee0b639/rev_7222e10-ee0b639;/samples/java-mule/src/main/java/com/wordnik/swagger/sample/model/Pet;getPhotoUrls();@XmlElementWrapper(name = "photoUrls")  @XmlElement(name = "photoUrl", required = true)  public List<String> getPhotoUrls() {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7222e10_ee0b639/rev_7222e10-ee0b639;/samples/java-mule/src/main/java/com/wordnik/swagger/sample/data/PetData;addPet(Pet);public Pet addPet(Pet pet) {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_7222e10_ee0b639/rev_7222e10-ee0b639;/samples/java-mule/src/main/java/com/wordnik/swagger/sample/data/StoreData;placeOrder(Order);public Order placeOrder(Order order) {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_4cc76fb_66d9203/rev_4cc76fb-66d9203;/modules/swagger-jaxrs/src/main/java/com/wordnik/swagger/jaxrs/ParameterProcessor;applyAnnotations(Swagger,Parameter,Class<?>,Annotation[],boolean);public static Parameter applyAnnotations(Swagger swagger, Parameter parameter, Class<?> cls, Annotation[] annotations, boolean isArray) {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_71a04d0_06cfbe1/rev_71a04d0-06cfbe1;/modules/swagger-models/src/main/java/com/wordnik/swagger/models/properties/StringProperty;isType(String,String);public static boolean isType(String type, String format) {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_71a04d0_06cfbe1/rev_71a04d0-06cfbe1;/modules/swagger-models/src/main/java/com/wordnik/swagger/models/properties/PropertyBuilder;build(String,String,Map<PropertyId,Object>);public static Property build(String type, String format, Map<PropertyId, Object> args) {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_47535a5_5a3f677/rev_47535a5-5a3f677;/modules/swagger-jaxrs/src/test/scala/resources/ResourceWithConfigAndExtensions;getTest(ArrayList<String>);@ApiOperation(value = "test.", tags = {;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_c7ef057_c69228b/rev_c7ef057-c69228b;/modules/swagger-jaxrs/src/main/java/io/swagger/jaxrs/Reader;parseMethod(Class<?>,Method,List<Parameter>);private Operation parseMethod(Class<?> cls, Method method, List<Parameter> globalParameters) {;0
/home/paper219/Desktop/analysis/demonstration//projects/truth/revisions/rev_4f20749_ae32b4c/rev_4f20749-ae32b4c;/src/test/java/org/junit/contrib/truth/IntegerTest;addition();@Test public void addition() {;0
/home/paper219/Desktop/analysis/demonstration//projects/truth/revisions/rev_4f20749_ae32b4c/rev_4f20749-ae32b4c;/src/main/java/org/junit/contrib/truth/subjects/Subject;is(Object);;0
/home/paper219/Desktop/analysis/demonstration//projects/servo/revisions/rev_78dc0b2_e299b19/rev_78dc0b2-e299b19;/src/main/java/com/netflix/servo/jmx/DefaultMonitorRegistry;getInstance();public static MonitorRegistry getInstance() {;0
/home/paper219/Desktop/analysis/demonstration//projects/truth/revisions/rev_d976c7e_8244a00/rev_d976c7e-8244a00;/src/main/java/org/junit/contrib/truth/subjects/IntSubject;isBetween(int,int);public And<IntSubject> isBetween(int lower, int upper) {;0
/home/paper219/Desktop/analysis/demonstration//projects/servo/revisions/rev_7a765fc_e22534f/rev_7a765fc-e22534f;/src/main/java/com/netflix/servo/publish/MemoryMetricObserver;getObservations();;0
/home/paper219/Desktop/analysis/demonstration//projects/servo/revisions/rev_7a765fc_e22534f/rev_7a765fc-e22534f;/src/main/java/com/netflix/servo/publish/AsyncMetricObserver;processUpdate();;0
/home/paper219/Desktop/analysis/demonstration//projects/servo/revisions/rev_7a765fc_e22534f/rev_7a765fc-e22534f;/src/main/java/com/netflix/servo/publish/FileMetricObserver;update(List<Metric>);;0
/home/paper219/Desktop/analysis/demonstration//projects/truth/revisions/rev_05a141c_0767b54/rev_05a141c-0767b54;/src/main/java/org/junit/contrib/truth/subjects/IntegerSubject;isBetween(long,long);;0
/home/paper219/Desktop/analysis/demonstration//projects/servo/revisions/rev_2319e19_08f3409/rev_2319e19-08f3409;/src/main/java/com/netflix/servo/aws/AwsInjectableTag;getUrlValue(String);private static String getUrlValue(String path) {;0
/home/paper219/Desktop/analysis/demonstration//projects/servo/revisions/rev_fc7c719_f23a28a/rev_fc7c719-f23a28a;/servo-core/src/main/java/com/netflix/servo/aws/AwsInjectableTag;getUrlValue(String);private static String getUrlValue(String path) {;2
/home/paper219/Desktop/analysis/demonstration//projects/graphql-java/revisions/rev_9d94784_8f1681d/rev_9d94784-8f1681d;/src/main/java/graphql/execution/Execution;execute(GraphQLSchema,Object,Document,String,Map<String,Object>);;0
/home/paper219/Desktop/analysis/demonstration//projects/graphql-java/revisions/rev_9d94784_8f1681d/rev_9d94784-8f1681d;/src/main/java/graphql/execution/ExecutionContextBuilder;build(GraphQLSchema,ExecutionStrategy,Object,Document,String,Map<String,Object>);public ExecutionContext build(GraphQLSchema graphQLSchema, ExecutionStrategy executionStrategy, Object root, Document document, String operationName, Map<String, Object> args) {;0
/home/paper219/Desktop/analysis/demonstration//projects/graphql-java/revisions/rev_56eb2a7_b20ae0a/rev_56eb2a7-b20ae0a;/src/main/java/graphql/execution/Execution;execute(GraphQLSchema,Object,Document,String,Map<String,Object>);public ExecutionResult execute(GraphQLSchema graphQLSchema, Object root, Document document, String operationName, Map<String, Object> args) {;0
/home/paper219/Desktop/analysis/demonstration//projects/graphql-java/revisions/rev_56eb2a7_b20ae0a/rev_56eb2a7-b20ae0a;/src/main/java/graphql/execution/ExecutionContextBuilder;build(GraphQLSchema,ExecutionStrategy,Object,Document,String,Map<String,Object>);public ExecutionContext build(GraphQLSchema graphQLSchema, ExecutionStrategy executionStrategy, Object root, Document document, String operationName, Map<String, Object> args) {;0
/home/paper219/Desktop/analysis/demonstration//projects/xodus/revisions/rev_bad3ed8_210f741/rev_bad3ed8-210f741;/entity-store/src/main/java/jetbrains/exodus/entitystore/EntityIterableCacheAdapter;isHandleTooLong(EntityIterableHandle);boolean isHandleTooLong(@NotNull final EntityIterableHandle handle) {;0
/home/paper219/Desktop/analysis/demonstration//projects/RxNetty/revisions/rev_8760480_a77e513/rev_8760480-a77e513;/src/main/java/rx/netty/protocol/http/ObservableHttpClient;createBootstrap(HttpProtocolHandler<T>,Observer<?superObservableHttpResponse<T>>);private <T> Bootstrap createBootstrap(final HttpProtocolHandler<T> handler, final Observer<? super ObservableHttpResponse<T>> observer) {;0
/home/paper219/Desktop/analysis/demonstration//projects/RxNetty/revisions/rev_8760480_a77e513/rev_8760480-a77e513;/src/main/java/rx/netty/protocol/http/HttpMessageObserver;exceptionCaught(ChannelHandlerContext,Throwable);@Override    public void exceptionCaught(ChannelHandlerContext ctx, Throwable cause) {;0
/home/paper219/Desktop/analysis/demonstration//projects/RxNetty/revisions/rev_8760480_a77e513/rev_8760480-a77e513;/src/main/java/rx/netty/protocol/http/ConnectionPromise;onConnect(Channel);void onConnect(Channel channel) {;0
/home/paper219/Desktop/analysis/demonstration//projects/RxNetty/revisions/rev_8760480_a77e513/rev_8760480-a77e513;/src/main/java/rx/netty/protocol/http/RequestWriter;execute(R,RequestCompletionPromise);Future<T> execute(R request, final RequestCompletionPromise requestCompletionPromise) {;0
/home/paper219/Desktop/analysis/demonstration//projects/xodus/revisions/rev_b1b59d5_956e4bc/rev_b1b59d5-956e4bc;/environment/src/main/java/jetbrains/exodus/log/CompoundByteIteratorBase;getCurrent();;0
/home/paper219/Desktop/analysis/demonstration//projects/RxNetty/revisions/rev_8530e8d_549e21f/rev_8530e8d-549e21f;/rxnetty/src/main/java/io/reactivex/netty/channel/CollaboratedReadInputSubscriber;invokeOnNext(I);;0
/home/paper219/Desktop/analysis/demonstration//projects/RxNetty/revisions/rev_137dbfd_a5e8a92/rev_137dbfd-a5e8a92;/rxnetty/src/main/java/io/reactivex/netty/protocol/http/client/internal/HttpClientToConnectionBridge;userEventTriggered(ChannelHandlerContext,Object);@Override    public void userEventTriggered(ChannelHandlerContext ctx, Object evt) throws Exception {;0
/home/paper219/Desktop/analysis/demonstration//projects/dagger/revisions/rev_ede1926_2477211/rev_ede1926-2477211;/compiler/src/main/java/dagger/internal/codegen/AtInjectBinding;create(TypeElement,boolean);static AtInjectBinding create(TypeElement type, boolean mustHaveInjections) {;0
